document_id,stock_code,ticker,report_year,market
MDA_7107_OFI_2021,7107,OFI,2021,Main
MDA_7107_OFI_2022,7107,OFI,2022,Main
MDA_7107_OFI_2023,7107,OFI,2023,Main
MDA_7167_ABLEGLOB_2020,7167,ABLEGLOB,2020,Main
MDA_7167_ABLEGLOB_2021,7167,ABLEGLOB,2021,Main
MDA_7167_ABLEGLOB_2022,7167,ABLEGLOB,2022,Main
MDA_7167_ABLEGLOB_2023,7167,ABLEGLOB,2023,Main
MDA_7167_ABLEGLOB_2024,7167,ABLEGLOB,2024,Main
MDA_7216_KAWAN_2020,7216,KAWAN,2020,Main
MDA_7216_KAWAN_2021,7216,KAWAN,2021,Main
MDA_7216_KAWAN_2022,7216,KAWAN,2022,Main
MDA_7216_KAWAN_2023,7216,KAWAN,2023,Main
MDA_7216_KAWAN_2024,7216,KAWAN,2024,Main
MDA_7237_PWROOT_2020,7237,PWROOT,2020,Main
MDA_7237_PWROOT_2021,7237,PWROOT,2021,Main
MDA_7237_PWROOT_2022,7237,PWROOT,2022,Main
MDA_7237_PWROOT_2023,7237,PWROOT,2023,Main
MDA_7237_PWROOT_2024,7237,PWROOT,2024,Main
MDA_7243_MAGMA_2020,7243,MAGMA,2020,Main
MDA_7243_MAGMA_2021,7243,MAGMA,2021,Main
MDA_7243_MAGMA_2022,7243,MAGMA,2022,Main
MDA_7243_MAGMA_2023,7243,MAGMA,2023,Main
MDA_7243_MAGMA_2024,7243,MAGMA,2024,Main
MDA_8303_LOTUS_2020,8303,LOTUS,2020,Main
MDA_8303_LOTUS_2021,8303,LOTUS,2021,Main
MDA_8303_LOTUS_2022,8303,LOTUS,2022,Main
MDA_8303_LOTUS_2023,8303,LOTUS,2023,Main
MDA_8303_LOTUS_2024,8303,LOTUS,2024,Main
MDA_8478_HWATAI_2020,8478,HWATAI,2020,Main
MDA_8478_HWATAI_2021,8478,HWATAI,2021,Main
MDA_8478_HWATAI_2022,8478,HWATAI,2022,Main
MDA_8478_HWATAI_2023,8478,HWATAI,2023,Main
MDA_8478_HWATAI_2024,8478,HWATAI,2024,Main
MDA_9946_ETA_2020,9946,ETA,2020,Main
MDA_9946_ETA_2021,9946,ETA,2021,Main
MDA_9946_ETA_2022,9946,ETA,2022,Main
MDA_9946_ETA_2023,9946,ETA,2023,Main
MDA_9946_ETA_2024,9946,ETA,2024,Main
