document_id,stock_code,ticker,year,parts,auditor_tokens,auditor_firm,big4,auditor_method,total_assets_rm000,ta_page,ta_line,profit_rm000,loss_flag,pl_page,pl_line,unit,notes
MDA_3662_MFLOUR_2024,3662,MFLOUR,2024,3662_MFLOUR_2024_AnnualReport_part1_official.txt|3662_MFLOUR_2024_AnnualReport_part2_official.txt|3662_MFLOUR_2024_AnnualReport_part3_official.txt|3662_MFLOUR_2024_AnnualReport_part4_official.txt,KPMG,KPMG,1,auditors_label_p5,2556457,122,"Total assets 2,556,457 2,580,740 1,341,307 1,447,983",77223,0,126,"RM'000 RM'000 RM'000 RM'000 Profit/(Loss) for the year 77,223 5,285 8,885 (70,444)",RM'000,
MDA_3689_FN_2020,3689,FN,2020,3689_FN_2020_AnnualReport_part1_official.txt|3689_FN_2020_AnnualReport_part2_official.txt,KPMG,KPMG,1,audit_window_p227,3520061,150,"Total assets 3,520,061 3,503,845 1,788,891 1,655,933",410124,0,151,"Tax expense 24 (112,787) (122,732) (23,385) (12,946) Profit for the year 25 410,124 410,224 269,700 229,277",RM'000,
MDA_3689_FN_2021,3689,FN,2021,3689_FN_2021_AnnualReport_part1_official.txt|3689_FN_2021_AnnualReport_part2_official.txt,KPMG,KPMG,1,audit_window_p247,3631746,168,"Total assets 3,631,746 3,520,061 1,788,265 1,788,891",395130,0,207,"Revenue 208,199 239,359 Profit for the year 20,685 28,774",RM'000,profit_manual_verified
MDA_3689_FN_2022,3689,FN,2022,3689_FN_2022_AnnualReport_part1_official.txt|3689_FN_2022_AnnualReport_part2_official.txt,KPMG,KPMG,1,audit_window_p288,4190630,169,"Total assets 4,190,630 3,631,746 1,719,655 1,788,265",382269,0,171,"Tax expense 24 (71,781) (84,281) (1,596) (21,994) Profit for the year 25 382,269 395,130 234,945 225,625",RM'000,
MDA_3689_FN_2023,3689,FN,2023,3689_FN_2023_AnnualReport_part1_official.txt|3689_FN_2023_AnnualReport_part2_official.txt,KPMG,KPMG,1,audit_window_p286,5111617,180,"Total assets 5,111,617 4,190,630 1,943,652 1,719,655",542028,0,182,"Income tax expense 24 (82,644) (71,781) (494) (1,596) Profit for the year 25 542,028 382,269 353,979 234,945",RM'000,
MDA_4065_PPB_2020,4065,PPB,2020,4065_PPB_2020_AnnualReport_part1_official.txt|4065_PPB_2020_AnnualReport_part2_official.txt|4065_PPB_2020_AnnualReport_part3_official.txt,EY,EY,1,audit_window_p95,11919227,52,"TOTAL ASSETS 11,919,227 11,860,653",544038,0,52,"Tax expense 6 (17,709) 2 Profit for the year 544,038 467,528",RM'000,
MDA_4065_PPB_2021,4065,PPB,2021,4065_PPB_2021_AnnualReport_part1_official.txt|4065_PPB_2021_AnnualReport_part2_official.txt,EY,EY,1,audit_window_p98,12011136,,"FILLED from next-year comparative: TOTAL ASSETS 12,128,437 12,011,136",1507115,0,40,"RM'000 Profit for the year 1,507,115 774,264",RM'000,ta_from_next_year_comparative
MDA_4065_PPB_2022,4065,PPB,2022,4065_PPB_2022_AnnualReport_part1_official.txt|4065_PPB_2022_AnnualReport_part2_official.txt|4065_PPB_2022_AnnualReport_part3_official.txt,EY,EY,1,audit_window_p85,12128437,43,"TOTAL ASSETS 12,128,437 12,011,136",671696,0,43,"Tax credit 6 230 15 Profit for the year 671,696 774,264",RM'000,
MDA_4065_PPB_2023,4065,PPB,2023,4065_PPB_2023_AnnualReport_part1_official.txt|4065_PPB_2023_AnnualReport_part2_official.txt,EY,EY,1,audit_window_p82,12317106,41,"TOTAL ASSETS 		 12,317,106 12,128,437",787877,0,41,"Tax (expense)/credit 6 (258) 230 Profit for the year 		 787,877 671,696",RM'000,
MDA_4065_PPB_2024,4065,PPB,2024,4065_PPB_2024_AnnualReport_part1_official.txt|4065_PPB_2024_AnnualReport_part2_official.txt,EY,EY,1,audit_window_p82,12490965,41,"TOTAL ASSETS 12,490,965 12,317,106",773033,0,41,"Tax expense 6 (1,456) (258) Profit for the financial year 773,033 787,877",RM'000,
MDA_4707_NESTLE_2020,4707,NESTLE,2020,4707_NESTLE_2020_AnnualReport_part1_official.txt,EY,EY,1,auditors_label_p77,2861400,,,552710,0,,,RM'000,ta_external_web;profit_external_web
MDA_4707_NESTLE_2021,4707,NESTLE,2021,4707_NESTLE_2021_AnnualReport_part1_official.txt,EY,EY,1,auditors_label_p63,2984830,,,569810,0,,,RM'000,ta_external_web;profit_external_web
MDA_4707_NESTLE_2022,4707,NESTLE,2022,4707_NESTLE_2022_AnnualReport_part1_official.txt,EY,EY,1,auditors_label_p61,3554010,,,620330,0,,,RM'000,ta_external_web;profit_external_web
MDA_4707_NESTLE_2023,4707,NESTLE,2023,4707_NESTLE_2023_AnnualReport_part1_official.txt,EY,EY,1,auditors_label_p63,3569220,,,659870,0,,,RM'000,ta_external_web;profit_external_web
MDA_4707_NESTLE_2024,4707,NESTLE,2024,4707_NESTLE_2024_AnnualReport_part1_official.txt,EY,EY,1,auditors_label_p62,3649740,,,415620,0,,,RM'000,ta_external_web;profit_external_web
MDA_5008_HARISON_2021,5008,HARISON,2021,5008_HARISON_2021_AnnualReport_part1_official.txt,5. To re-appoint Messrs. PricewaterhouseCoopers PLT as the,PwC,1,auditors_label_raw_p69,741430,14,"Total assets 741,430",44476,0,,"FILLED from next-year comparative: ─────── ─────── ─────── ─────── Profit for the financial year 67,981 44,476 39,494 14,764",RM'000,profit_from_next_year_comparative
MDA_5008_HARISON_2022,5008,HARISON,2022,5008_HARISON_2022_AnnualReport_part1_official.txt,PwC,PwC,1,audit_window_p137,919006,93,"Total assets 919,006",67981,0,60,"─────── ─────── ─────── ─────── Profit for the financial year 67,981 44,476 39,494 14,764",RM'000,
MDA_5008_HARISON_2023,5008,HARISON,2023,5008_HARISON_2023_AnnualReport_part1_official.txt,PwC,PwC,1,audit_window_p133,944544,88,"Total assets 944,544",68798,0,65,"─────── ─────── ─────── ─────── Profit for the financial year 68,798 67,981 44,971 39,494",RM'000,
MDA_5008_HARISON_2024,5008,HARISON,2024,5008_HARISON_2024_AnnualReport_part1_official.txt,PwC,PwC,1,audit_window_p150,974727,105,"Total assets 974,727",42992,0,83,"At 1 January 2024 68,523 (18) 2,336 1,917 5,405 371,418 449,581 5,278 454,859 Profit for the financial year - - - - - 42,992 42,992 894 43,886",RM'000,
MDA_5102_GCB_2020,5102,GCB,2020,5102_GCB_2020_AnnualReport_part1_official.txt,BDO,BDO,0,audit_window_p84,98123458,136,"Total assets		98,123,458 112,433,591 - 87,033,579",222709035,0,89,"Profit for the year		 - - - - 222,709,035 222,709,035",RM,
