pdf_file,txt_file,status,pages,chars
7035_CCK_2020_AnnualReport_part1_official.pdf,7035_CCK_2020_AnnualReport_part1_official.txt,ok,19,44738
7035_CCK_2020_AnnualReport_part2_official.pdf,7035_CCK_2020_AnnualReport_part2_official.txt,ok,125,384776
7035_CCK_2021_AnnualReport_part1_official.pdf,7035_CCK_2021_AnnualReport_part1_official.txt,ok,19,49049
7035_CCK_2021_AnnualReport_part2_official.pdf,7035_CCK_2021_AnnualReport_part2_official.txt,ok,129,394771
7035_CCK_2022_AnnualReport_part1_official.pdf,7035_CCK_2022_AnnualReport_part1_official.txt,ok,19,50621
7035_CCK_2022_AnnualReport_part2_official.pdf,7035_CCK_2022_AnnualReport_part2_official.txt,ok,131,389591
7035_CCK_2023_AnnualReport_part1_official.pdf,7035_CCK_2023_AnnualReport_part1_official.txt,ok,19,54786
7035_CCK_2023_AnnualReport_part2_official.pdf,7035_CCK_2023_AnnualReport_part2_official.txt,ok,129,390899
7035_CCK_2024_AnnualReport_part1_official.pdf,7035_CCK_2024_AnnualReport_part1_official.txt,ok,24,65938
7035_CCK_2024_AnnualReport_part2_official.pdf,7035_CCK_2024_AnnualReport_part2_official.txt,ok,134,415299
7103_SPRITZER_2020_AnnualReport_part1_official.pdf,7103_SPRITZER_2020_AnnualReport_part1_official.txt,ok,56,217097
7103_SPRITZER_2020_AnnualReport_part2_official.pdf,7103_SPRITZER_2020_AnnualReport_part2_official.txt,ok,131,463728
7103_SPRITZER_2021_AnnualReport_part1_official.pdf,7103_SPRITZER_2021_AnnualReport_part1_official.txt,ok,166,598437
7103_SPRITZER_2022_AnnualReport_part1_official.pdf,7103_SPRITZER_2022_AnnualReport_part1_official.txt,ok,164,600410
7103_SPRITZER_2023_AnnualReport_part1_official.pdf,7103_SPRITZER_2023_AnnualReport_part1_official.txt,ok,179,631029
7103_SPRITZER_2024_AnnualReport_part1_official.pdf,7103_SPRITZER_2024_AnnualReport_part1_official.txt,ok,194,642118
7107_OFI_2020_AnnualReport_part1_official.pdf,7107_OFI_2020_AnnualReport_part1_official.txt,ok,129,428256
7107_OFI_2021_AnnualReport_part1_official.pdf,7107_OFI_2021_AnnualReport_part1_official.txt,ok,133,464803
7107_OFI_2022_AnnualReport_part1_official.pdf,7107_OFI_2022_AnnualReport_part1_official.txt,ok,127,435531
7107_OFI_2023_AnnualReport_part1_official.pdf,7107_OFI_2023_AnnualReport_part1_official.txt,ok,133,439078
7167_ABLEGLOB_2020_AnnualReport_part1_official.pdf,7167_ABLEGLOB_2020_AnnualReport_part1_official.txt,ok,84,296758
7167_ABLEGLOB_2020_AnnualReport_part2_official.pdf,7167_ABLEGLOB_2020_AnnualReport_part2_official.txt,ok,85,258933
7167_ABLEGLOB_2021_AnnualReport_part1_official.pdf,7167_ABLEGLOB_2021_AnnualReport_part1_official.txt,ok,163,530115
7167_ABLEGLOB_2022_AnnualReport_part1_official.pdf,7167_ABLEGLOB_2022_AnnualReport_part1_official.txt,ok,170,564979
7167_ABLEGLOB_2023_AnnualReport_part1_official.pdf,7167_ABLEGLOB_2023_AnnualReport_part1_official.txt,ok,164,555427
7167_ABLEGLOB_2024_AnnualReport_part1_official.pdf,7167_ABLEGLOB_2024_AnnualReport_part1_official.txt,ok,12,34663
7167_ABLEGLOB_2024_AnnualReport_part2_official.pdf,7167_ABLEGLOB_2024_AnnualReport_part2_official.txt,ok,157,491837
7216_KAWAN_2020_AnnualReport_part1_official.pdf,7216_KAWAN_2020_AnnualReport_part1_official.txt,ok,23,55419
7216_KAWAN_2020_AnnualReport_part2_official.pdf,7216_KAWAN_2020_AnnualReport_part2_official.txt,ok,167,550667
7216_KAWAN_2021_AnnualReport_part1_official.pdf,7216_KAWAN_2021_AnnualReport_part1_official.txt,ok,214,660193
7216_KAWAN_2022_AnnualReport_part1_official.pdf,7216_KAWAN_2022_AnnualReport_part1_official.txt,ok,20,46625
7216_KAWAN_2022_AnnualReport_part2_official.pdf,7216_KAWAN_2022_AnnualReport_part2_official.txt,ok,49,153731
7216_KAWAN_2022_AnnualReport_part3_official.pdf,7216_KAWAN_2022_AnnualReport_part3_official.txt,ok,11,43146
7216_KAWAN_2022_AnnualReport_part4_official.pdf,7216_KAWAN_2022_AnnualReport_part4_official.txt,ok,125,480434
7216_KAWAN_2023_AnnualReport_part1_official.pdf,7216_KAWAN_2023_AnnualReport_part1_official.txt,ok,22,54423
7216_KAWAN_2023_AnnualReport_part2_official.pdf,7216_KAWAN_2023_AnnualReport_part2_official.txt,ok,45,170373
7216_KAWAN_2023_AnnualReport_part3_official.pdf,7216_KAWAN_2023_AnnualReport_part3_official.txt,ok,154,528750
7216_KAWAN_2024_AnnualReport_part1_official.pdf,7216_KAWAN_2024_AnnualReport_part1_official.txt,ok,14,39772
7216_KAWAN_2024_AnnualReport_part2_official.pdf,7216_KAWAN_2024_AnnualReport_part2_official.txt,ok,43,149647
7216_KAWAN_2024_AnnualReport_part3_official.pdf,7216_KAWAN_2024_AnnualReport_part3_official.txt,ok,146,538516
7237_PWROOT_2020_AnnualReport_part1_official.pdf,7237_PWROOT_2020_AnnualReport_part1_official.txt,ok,181,603692
7237_PWROOT_2021_AnnualReport_part1_official.pdf,7237_PWROOT_2021_AnnualReport_part1_official.txt,ok,163,626909
7237_PWROOT_2022_AnnualReport_part1_official.pdf,7237_PWROOT_2022_AnnualReport_part1_official.txt,ok,189,655457
7237_PWROOT_2023_AnnualReport_part1_official.pdf,7237_PWROOT_2023_AnnualReport_part1_official.txt,ok,185,635287
7237_PWROOT_2024_AnnualReport_part1_official.pdf,7237_PWROOT_2024_AnnualReport_part1_official.txt,ok,181,656337
7243_MAGMA_2020_AnnualReport_part1_official.pdf,7243_MAGMA_2020_AnnualReport_part1_official.txt,ok,178,610717
7243_MAGMA_2021_AnnualReport_part1_official.pdf,7243_MAGMA_2021_AnnualReport_part1_official.txt,ok,184,577700
7243_MAGMA_2022_AnnualReport_part1_official.pdf,7243_MAGMA_2022_AnnualReport_part1_official.txt,ok,180,598793
7243_MAGMA_2023_AnnualReport_part1_official.pdf,7243_MAGMA_2023_AnnualReport_part1_official.txt,ok,173,582792
7243_MAGMA_2024_AnnualReport_part1_official.pdf,7243_MAGMA_2024_AnnualReport_part1_official.txt,ok,92,246120
7243_MAGMA_2024_AnnualReport_part2_official.pdf,7243_MAGMA_2024_AnnualReport_part2_official.txt,ok,112,370410
8303_LOTUS_2020_AnnualReport_part1_official.pdf,8303_LOTUS_2020_AnnualReport_part1_official.txt,ok,671,497581
8303_LOTUS_2021_AnnualReport_part1_official.pdf,8303_LOTUS_2021_AnnualReport_part1_official.txt,ok,141,422661
8303_LOTUS_2022_AnnualReport_part1_official.pdf,8303_LOTUS_2022_AnnualReport_part1_official.txt,ok,9,19828
