document_id,stock_code,ticker,company_name,year,auditor_firm,big4,auditor_method,total_assets_reported,unit,profit_loss_reported,loss_flag,ta_source_page,pl_source_page,notes
MDA_7103_SPRITZER_2022,7103,SPRITZER,SPRITZER [s],2022,Deloitte,1,audit_window_p73,600954,RM'000,36965,0,76,113,
MDA_7103_SPRITZER_2023,7103,SPRITZER,SPRITZER [s],2023,Deloitte,1,audit_window_p97,687910,RM'000,49486,0,100,127,
MDA_7103_SPRITZER_2024,7103,SPRITZER,SPRITZER [s],2024,Deloitte,1,audit_window_p106,772116,RM'000,71111,0,109,138,
MDA_7107_OFI_2020,7107,OFI,OFI [s],2020,Crowe,0,audit_window_p63,248785020,RM,9698825,0,65,64,
MDA_7107_OFI_2021,7107,OFI,OFI [s],2021,Crowe,0,audit_window_p68,266790768,RM,18800841,0,70,69,
MDA_7107_OFI_2022,7107,OFI,OFI [s],2022,Crowe,0,audit_window_p66,282212551,RM,18363125,0,68,67,
MDA_7107_OFI_2023,7107,OFI,OFI [s],2023,Crowe,0,audit_window_p68,288125271,RM,19255757,0,70,69,
MDA_7167_ABLEGLOB_2020,7167,ABLEGLOB,ABLEGLOB [s],2020,Crowe,0,audit_window_p54,470370328,RM,39489984,0,55,59,
MDA_7167_ABLEGLOB_2021,7167,ABLEGLOB,ABLEGLOB [s],2021,Crowe,0,audit_window_p55,531404899,RM,36911517,0,56,60,
MDA_7167_ABLEGLOB_2022,7167,ABLEGLOB,ABLEGLOB [s],2022,Crowe,0,audit_window_p55,720612887,RM,33385382,0,56,60,
MDA_7167_ABLEGLOB_2023,7167,ABLEGLOB,ABLEGLOB [s],2023,Crowe,0,audit_window_p64,802572208,RM,51857196,0,65,69,
MDA_7167_ABLEGLOB_2024,7167,ABLEGLOB,ABLEGLOB [s],2024,Crowe,0,audit_window_p66,832997272,RM,-5048884,1,67,71,
MDA_7216_KAWAN_2020,7216,KAWAN,KAWAN [s],2020,RSM,0,audit_window_p162,416646794,RM,12189784,0,89,93,
MDA_7216_KAWAN_2021,7216,KAWAN,KAWAN [s],2021,RSM,0,audit_window_p188,434957167,RM,28017858,0,113,117,
MDA_7216_KAWAN_2022,7216,KAWAN,KAWAN [s],2022,RSM,0,audit_window_p177,460810382,RM,35842450,0,106,108,
MDA_7216_KAWAN_2023,7216,KAWAN,KAWAN [s],2023,RSM,0,audit_window_p192,460756709,RM,30028103,0,107,110,
MDA_7216_KAWAN_2024,7216,KAWAN,KAWAN [s],2024,RSM,0,audit_window_p177,457487666,RM,30943045,0,101,104,
MDA_7237_PWROOT_2020,7237,PWROOT,PWROOT [s],2020,KPMG,1,audit_window_p159,376572806,RM,51745703,0,81,83,
MDA_7237_PWROOT_2021,7237,PWROOT,PWROOT [s],2021,KPMG,1,audit_window_p143,348725659,RM,28339429,0,69,71,
MDA_7237_PWROOT_2022,7237,PWROOT,PWROOT [s],2022,KPMG,1,audit_window_p167,386382480,RM,26318677,0,86,88,
MDA_7237_PWROOT_2023,7237,PWROOT,PWROOT [s],2023,KPMG,1,audit_window_p165,438153273,RM,59450679,0,90,92,
MDA_7237_PWROOT_2024,7237,PWROOT,PWROOT [s],2024,KPMG,1,audit_window_p164,505509512,RM,42307929,0,111,113,
MDA_7243_MAGMA_2020,7243,MAGMA,MAGMA [s],2020,Moore,0,audit_window_p75,194724118,RM,-1350374,1,77,79,
MDA_7243_MAGMA_2021,7243,MAGMA,MAGMA [s],2021,Moore,0,audit_window_p70,203929235,RM,-7971930,1,151,127,
MDA_7243_MAGMA_2022,7243,MAGMA,MAGMA [s],2022,Moore,0,audit_window_p70,221815440,RM,-37729,1,143,,profit_from_next_year_comparative
MDA_7243_MAGMA_2023,7243,MAGMA,MAGMA [s],2023,Moore,0,audit_window_p78,245212560,RM,1026311,0,138,114,
MDA_7243_MAGMA_2024,7243,MAGMA,MAGMA [s],2024,Moore,0,audit_window_p105,248756724,RM,4184367,0,169,144,
MDA_8303_LOTUS_2020,8303,LOTUS,LOTUS [s],2020,Grant Thornton,0,audit_window_p242,80155983,RM,9926836,0,246,251,
MDA_8303_LOTUS_2021,8303,LOTUS,LOTUS [s],2021,Grant Thornton,0,audit_window_p56,86921579,RM,2661144,0,57,59,
MDA_8303_LOTUS_2022,8303,LOTUS,LOTUS [s],2022,Grant Thornton,0,audit_window_p60,88396844,RM,2661144,0,61,64,
MDA_8303_LOTUS_2023,8303,LOTUS,LOTUS [s],2023,TGS TW,0,audit_window_p60,100567579,RM,2661893,0,61,63,
MDA_8303_LOTUS_2024,8303,LOTUS,LOTUS [s],2024,TGS TW,0,audit_window_p79,102274008,RM,2661893,0,80,83,
MDA_8478_HWATAI_2020,8478,HWATAI,HWATAI [s],2020,Baker Tilly,0,audit_window_p116,63500743,RM,1094341,0,40,41,
MDA_8478_HWATAI_2021,8478,HWATAI,HWATAI [s],2021,Baker Tilly,0,audit_window_p121,66981076,RM,-1912513,1,41,42,
MDA_8478_HWATAI_2022,8478,HWATAI,HWATAI [s],2022,Baker Tilly,0,audit_window_p118,72218622,RM,-5833995,1,40,41,
MDA_8478_HWATAI_2023,8478,HWATAI,HWATAI [s],2023,Baker Tilly,0,audit_window_p123,96846986,RM,-7103021,1,57,59,
MDA_8478_HWATAI_2024,8478,HWATAI,HWATAI [s],2024,Baker Tilly,0,audit_window_p116,104895719,RM,1294038,0,52,54,
MDA_9946_ETA_2020,9946,ETA,ETA [s],2020,Moore,0,audit_window_p60,182702852,RM,-9465290,1,62,61,
MDA_9946_ETA_2021,9946,ETA,ETA [s],2021,Moore,0,audit_window_p62,195519140,RM,2602577,0,64,63,
MDA_9946_ETA_2022,9946,ETA,ETA [s],2022,Moore,0,audit_window_p60,201447318,RM,2027064,0,62,61,
MDA_9946_ETA_2023,9946,ETA,ETA [s],2023,Moore,0,audit_window_p67,178504661,RM,-44399125,1,69,68,
MDA_9946_ETA_2024,9946,ETA,ETA [s],2024,Moore,0,appointment_p30,155826332,RM,-4167260,1,86,85,
