document_id,stock_code,ticker,year,auditor_firm,big4,total_assets_rm000,profit_rm000,loss_flag,unit,notes
MDA_8478_HWATAI_2020,8478,HWATAI,2020,Baker Tilly,0,63500743,1094341,0,RM,
MDA_8478_HWATAI_2021,8478,HWATAI,2021,Baker Tilly,0,66981076,-1912513,1,RM,
MDA_8478_HWATAI_2022,8478,HWATAI,2022,Baker Tilly,0,72218622,-5833995,1,RM,
MDA_8478_HWATAI_2023,8478,HWATAI,2023,Baker Tilly,0,96846986,-7103021,1,RM,
MDA_8478_HWATAI_2024,8478,HWATAI,2024,Baker Tilly,0,104895719,1294038,0,RM,
MDA_9946_ETA_2020,9946,ETA,2020,Moore,0,182702852,-9465290,1,RM,
MDA_9946_ETA_2021,9946,ETA,2021,Moore,0,195519140,2602577,0,RM,
MDA_9946_ETA_2022,9946,ETA,2022,Moore,0,201447318,2027064,0,RM,
MDA_9946_ETA_2023,9946,ETA,2023,Moore,0,178504661,-44399125,1,RM,
MDA_9946_ETA_2024,9946,ETA,2024,Moore,0,155826332,-4167260,1,RM,
