document_id,num_financial_mentions,num_calculable_changes,num_consistent_checks,num_minor_discrepancies,num_material_discrepancies,num_severe_direction_conflicts,num_not_calculable,has_revenue_discussion,has_profit_discussion,has_cost_discussion,has_segment_discussion,has_margin_discussion,overall_numeric_consistency,internal_check_notes
MDA_6432_APOLLO_2022,20,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
MDA_6432_APOLLO_2023,23,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
MDA_6432_APOLLO_2024,27,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_7035_CCK_2020,20,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_7035_CCK_2021,45,1,0,0,1,0,1,True,True,True,True,True,weak,"margin: stated 34.90%, calculated 99.95% from profit/revenue, status material_discrepancy. | segment revenue: possible table extraction or multi-year pairing issue; components sum 10118.00, stated total 40.30, difference 25006.70%."
MDA_7035_CCK_2022,70,0,0,0,0,0,1,True,True,True,True,True,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 10585.40, stated total 192.20, difference 5407.49%."
MDA_7035_CCK_2023,63,1,0,0,1,0,1,True,True,True,True,True,weak,"margin: stated 20.20%, calculated 601.01% from profit/revenue, status material_discrepancy. | segment revenue: possible table extraction or multi-year pairing issue; components sum 6973.70, stated total -75.00, difference 9398.27%."
MDA_7035_CCK_2024,66,2,0,0,2,0,3,True,True,True,True,True,weak,"margin: stated 2.30%, calculated 29.87% from profit/revenue, status material_discrepancy. | segment revenue: components sum 4081.00, stated total 2986.00, difference 36.67%, status material_discrepancy. | segment revenue: possible table extraction or multi-year pairing issue; components sum 7049.60, stated total -76.00, difference 9375.79%. | segment revenue: possible table extraction or multi-year pairing issue; components sum 381.90, stated total 2024.00, difference -81.13%. | segment revenue: possible table extraction or multi-year pairing issue; components sum 12176.90, stated total 49.00, difference 24750.82%."
MDA_7103_SPRITZER_2020,8,0,0,0,0,0,0,True,False,False,True,False,not_enough_numbers,
MDA_7103_SPRITZER_2021,9,0,0,0,0,0,0,True,False,False,True,False,not_enough_numbers,
MDA_7103_SPRITZER_2022,69,1,1,0,0,0,0,True,True,True,False,True,moderate,"margin: stated 9.20%, calculated 8.28% from profit/revenue, status consistent."
MDA_7103_SPRITZER_2023,87,1,0,0,1,0,0,True,True,True,True,True,weak,"margin: stated 10.40%, calculated 6.32% from profit/revenue, status material_discrepancy."
MDA_7103_SPRITZER_2024,97,0,0,0,0,0,1,True,True,True,True,True,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 14437.20, stated total 1.80, difference 801966.67%."
MDA_7107_OFI_2020,52,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_7107_OFI_2021,52,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_7107_OFI_2022,51,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_7107_OFI_2023,51,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_7167_ABLEGLOB_2020,62,1,0,0,1,0,0,True,True,True,True,True,weak,"Dividend: stated -1.01%, calculated -27.03%, status material_discrepancy."
MDA_7167_ABLEGLOB_2021,48,1,0,0,1,0,0,True,True,True,True,True,weak,"Dividend: stated 0.41%, calculated 15.19%, status material_discrepancy."
MDA_7167_ABLEGLOB_2022,50,1,0,0,1,0,0,True,True,True,True,True,weak,"Dividend: stated -0.15%, calculated -4.82%, status material_discrepancy."
MDA_7167_ABLEGLOB_2023,53,1,0,0,1,0,0,True,True,True,True,True,weak,"Dividend: stated 1.37%, calculated 46.28%, status material_discrepancy."
MDA_7167_ABLEGLOB_2024,22,0,0,0,0,0,0,True,True,True,True,False,not_enough_numbers,
MDA_7216_KAWAN_2020,119,0,0,0,0,0,1,True,True,True,True,True,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 2015.00, stated total -5.00, difference 40400.00%."
MDA_7216_KAWAN_2021,3,0,0,0,0,0,0,False,True,True,False,True,not_enough_numbers,
MDA_7216_KAWAN_2022,116,1,0,1,0,0,0,True,True,True,True,True,moderate,"margin: stated 13.70%, calculated 12.52% from profit/revenue, status minor_discrepancy."
MDA_7216_KAWAN_2023,95,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_7216_KAWAN_2024,63,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
MDA_7237_PWROOT_2020,53,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_7237_PWROOT_2021,47,0,0,0,0,0,0,True,True,True,False,False,not_enough_numbers,
MDA_7237_PWROOT_2022,53,0,0,0,0,0,0,True,True,True,False,False,not_enough_numbers,
MDA_7237_PWROOT_2023,39,0,0,0,0,0,0,True,True,True,False,False,not_enough_numbers,
MDA_7237_PWROOT_2024,43,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_7243_MAGMA_2020,70,1,0,0,1,0,0,True,True,True,False,True,weak,"margin: stated 75.40%, calculated 51.03% from profit/revenue, status material_discrepancy."
MDA_7243_MAGMA_2021,61,2,1,0,1,0,0,True,True,True,True,True,weak,"liabilities: stated 4.00%, calculated 3.60%, status consistent. | margin: stated 42.00%, calculated 31.76% from profit/revenue, status material_discrepancy."
MDA_7243_MAGMA_2022,61,1,0,0,1,0,1,True,True,True,True,True,weak,"margin: stated 37.10%, calculated 56.70% from profit/revenue, status material_discrepancy. | segment revenue: possible table extraction or multi-year pairing issue; components sum 4069.72, stated total 19.50, difference 20770.36%."
MDA_7243_MAGMA_2023,73,1,0,0,1,0,2,True,True,True,True,True,weak,"margin: stated 45.90%, calculated 114.42% from profit/revenue, status material_discrepancy. | segment revenue: possible table extraction or multi-year pairing issue; components sum 90474.00, stated total 2023.00, difference 4372.27%. | segment revenue: possible table extraction or multi-year pairing issue; components sum 2052.95, stated total 26.73, difference 7580.32%."
MDA_7243_MAGMA_2024,88,2,1,0,1,0,1,True,True,True,True,True,weak,"Assets: stated 1.50%, calculated 1.45%, status consistent. | margin: stated 3.20%, calculated 109.81% from profit/revenue, status material_discrepancy. | segment revenue: possible table extraction or multi-year pairing issue; components sum 42072.64, stated total -2451.00, difference 1816.55%."
MDA_8303_LOTUS_2020,36,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_8303_LOTUS_2021,33,0,0,0,0,0,0,True,True,True,True,True,not_enough_numbers,
MDA_8303_LOTUS_2022,31,1,0,0,1,0,0,True,True,True,True,True,weak,"margin: stated 2.66%, calculated 6.31% from profit/revenue, status material_discrepancy."
MDA_8303_LOTUS_2023,40,1,0,0,1,0,0,True,True,True,True,True,weak,"segment revenue: components sum 2052.00, stated total 21646200.00, difference -99.99%, status material_discrepancy."
MDA_8303_LOTUS_2024,30,0,0,0,0,0,1,True,True,True,True,True,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 2074.32, stated total 0.38, difference 541497.39%."
MDA_8478_HWATAI_2020,22,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
MDA_8478_HWATAI_2021,44,0,0,0,0,0,1,True,True,True,True,True,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 229788.00, stated total 74950.00, difference 206.59%."
MDA_8478_HWATAI_2022,39,0,0,0,0,0,1,True,True,True,True,True,moderate,"segment revenue: possible table extraction or multi-year pairing issue; components sum 233976.00, stated total 73378.00, difference 218.86%."
MDA_8478_HWATAI_2023,18,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
MDA_8478_HWATAI_2024,21,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
MDA_9946_ETA_2020,14,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
MDA_9946_ETA_2021,8,0,0,0,0,0,0,False,True,True,True,True,not_enough_numbers,
MDA_9946_ETA_2022,26,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
MDA_9946_ETA_2023,19,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
MDA_9946_ETA_2024,21,0,0,0,0,0,0,True,True,True,False,True,not_enough_numbers,
